,index,id,imdb_id,title,type,genres,production_countries,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
6788,6788,tm190179,tt0107002,Germinal,MOVIE,drama,BE,1993.0,160.0,7.1,5213.0,9.603,6.7
6789,6789,tm190179,tt0107002,Germinal,MOVIE,drama,FR,1993.0,160.0,7.1,5213.0,9.603,6.7
6790,6790,tm190179,tt0107002,Germinal,MOVIE,drama,IT,1993.0,160.0,7.1,5213.0,9.603,6.7
6791,6791,tm190179,tt0107002,Germinal,MOVIE,european,BE,1993.0,160.0,7.1,5213.0,9.603,6.7
6792,6792,tm190179,tt0107002,Germinal,MOVIE,european,FR,1993.0,160.0,7.1,5213.0,9.603,6.7
6793,6793,tm190179,tt0107002,Germinal,MOVIE,european,IT,1993.0,160.0,7.1,5213.0,9.603,6.7
6794,6794,tm190179,tt0107002,Germinal,MOVIE,romance,BE,1993.0,160.0,7.1,5213.0,9.603,6.7
6795,6795,tm190179,tt0107002,Germinal,MOVIE,romance,FR,1993.0,160.0,7.1,5213.0,9.603,6.7
6796,6796,tm190179,tt0107002,Germinal,MOVIE,romance,IT,1993.0,160.0,7.1,5213.0,9.603,6.7
6797,6797,tm190221,tt0288713,The Assignment,MOVIE,action,CA,1997.0,119.0,7.0,6.0,8.063,6.3
6798,6798,tm190221,tt0288713,The Assignment,MOVIE,crime,CA,1997.0,119.0,7.0,6.0,8.063,6.3
6799,6799,tm190221,tt0288713,The Assignment,MOVIE,drama,CA,1997.0,119.0,7.0,6.0,8.063,6.3
6800,6800,tm190221,tt0288713,The Assignment,MOVIE,thriller,CA,1997.0,119.0,7.0,6.0,8.063,6.3
6801,6801,tm190231,tt0107279,Journey to the Center of the Earth,MOVIE,fantasy,US,1993.0,90.0,3.1,840.0,4.127,3.5
6802,6802,tm190231,tt0107279,Journey to the Center of the Earth,MOVIE,scifi,US,1993.0,90.0,3.1,840.0,4.127,3.5
6803,6803,tm190288,tt0107162,Once Upon a Time in China IV,MOVIE,action,HK,1993.0,101.0,5.8,1149.0,6.082,5.4
6804,6804,tm190288,tt0107162,Once Upon a Time in China IV,MOVIE,western,HK,1993.0,101.0,5.8,1149.0,6.082,5.4
6805,6805,tm190397,tt0071203,Belladonna of Sadness,MOVIE,animation,JP,1973.0,86.0,7.3,5853.0,14.2,7.5
6806,6806,tm190397,tt0071203,Belladonna of Sadness,MOVIE,drama,JP,1973.0,86.0,7.3,5853.0,14.2,7.5
6807,6807,tm190397,tt0071203,Belladonna of Sadness,MOVIE,fantasy,JP,1973.0,86.0,7.3,5853.0,14.2,7.5
6808,6808,tm190397,tt0071203,Belladonna of Sadness,MOVIE,horror,JP,1973.0,86.0,7.3,5853.0,14.2,7.5
6809,6809,tm190421,tt0120121,The Shooter,MOVIE,western,US,1997.0,91.0,5.0,616.0,3.262,4.6
6810,6810,tm190512,tt0119389,The Island on Bird Street,MOVIE,drama,DE,1997.0,107.0,7.1,1670.0,4.443,6.7
6811,6811,tm190512,tt0119389,The Island on Bird Street,MOVIE,drama,DK,1997.0,107.0,7.1,1670.0,4.443,6.7
6812,6812,tm190512,tt0119389,The Island on Bird Street,MOVIE,drama,FR,1997.0,107.0,7.1,1670.0,4.443,6.7
6813,6813,tm190512,tt0119389,The Island on Bird Street,MOVIE,drama,GB,1997.0,107.0,7.1,1670.0,4.443,6.7
